ID,Campaign ID,Keyword ID
19977,50531,2720
12101,54487,2682
12102,54487,2683
12103,54487,2684
12104,54487,2685
30410,55923,5092
30411,55923,707
1266,52996,244
30412,55923,5093
30413,55923,5094
30414,55923,712
30415,55923,5095
30416,55923,5096
62686,58071,1795
62687,58071,1796
62688,58071,3081
1114,52366,256
1115,52366,257
1116,52366,258
1117,52366,259
1118,52366,237
1119,52366,238
1120,52366,239
1121,52366,240
1122,52366,241
1123,52366,242
1124,52366,115
1125,52366,244
1126,52366,243
1127,52366,249
1128,52366,250
62689,58071,789
2423,53519,764
2424,53519,765
30417,55923,5097
12105,54487,2686
12106,54487,2687
1129,52366,251
1130,52366,252
1131,52366,253
1132,52366,254
1133,52366,255
19978,50531,3044
19979,50531,3805
19980,50531,816
19981,50531,1937
19982,50531,3060
19983,50531,3349
19984,50531,3803
19985,50531,3804
19986,50531,3037
136414,62492,4192
16558,54818,2688
16559,54818,3202
16560,54818,2690
16561,54818,2692
16562,54818,297
16563,54818,3372
16564,54818,300
58285,55707,4314
58286,55707,3355
58287,55707,991
59277,57447,1623
1281,53092,361
1282,53092,362
1283,53092,363
1284,53092,364
1285,53092,365
1309,52988,1
1310,52988,257
1311,52988,266
1312,52988,276
1313,52988,277
1314,52988,278
1315,52988,280
1316,52988,341
1317,52988,342
1318,52988,343
1319,52988,344
1320,52988,345
1321,52988,346
1322,52988,347
1323,52988,348
1324,52988,349
1325,52988,350
1326,52988,351
1327,52988,239
1328,52988,242
1329,52988,244
1330,52988,249
1331,52988,255
59278,57447,2350
59279,57447,7538
59280,57447,7539
59281,57447,247
60134,57685,4096
60135,57685,7938
136415,62492,2402
136416,62492,4707
136417,62492,2404
136418,62492,2403
136419,62492,2407
156856,64560,7
785,52536,1
786,52536,258
787,52536,264
788,52536,265
789,52536,266
790,52536,267
791,52536,268
792,52536,269
793,52536,270
794,52536,271
795,52536,272
796,52536,273
797,52536,274
798,52536,275
799,52536,276
800,52536,277
801,52536,278
802,52536,279
803,52536,280
804,52536,244
805,52536,255
156857,64560,648
156858,64560,15319
156859,64560,1303
156860,64560,155
33795,55960,5168
33796,55960,5169
33797,55960,5166
33798,55960,5167
62690,58071,1046
62691,58071,5279
62692,58071,418
62693,58071,1058
62694,58071,1064
1571,51376,107
1572,51376,110
1573,51376,115
1574,51376,116
1575,51376,121
1608,52037,231
156861,64560,291
156862,64560,14499
156863,64560,8101
156864,64560,1574
111942,62302,6250
136420,62492,2536
62695,58071,553
62696,58071,2091
62697,58071,8498
62698,58071,8499
62699,58071,8500
136421,62492,14187
136422,62492,14188
136423,62492,14189
136424,62492,14190
136425,62492,14191
