Deleted,Campaign ID,Campaign Type,Advertiser ID,Created At,Updated At,Disabled,Account ID,Filter Type
,136033,NATIVE,42220,2021-08-28T12:29:45.673868+04:30,2021-08-28T12:29:45.673896+04:30,false,Y7yLsNbl,KEYWORD
,136023,NATIVE,17711,2021-08-28T12:14:14.72107+04:30,2021-08-28T12:19:43.94676+04:30,false,exXIzbuh,KEYWORD
,136019,NATIVE,28435,2021-08-28T12:11:28.662845+04:30,2021-08-28T12:11:28.662876+04:30,false,MbaNfMS9,KEYWORD
,136009,NATIVE,40687,2021-08-28T11:50:33.494681+04:30,2021-08-28T12:41:47.493919+04:30,false,sILLPfWq,KEYWORD
,136003,NATIVE,28435,2021-08-28T11:46:47.237489+04:30,2021-08-28T12:04:07.214518+04:30,false,MbaNfMS9,KEYWORD
,135995,NATIVE,42946,2021-08-28T11:35:08.611229+04:30,2021-08-28T11:35:08.611256+04:30,false,zu1cs3is,KEYWORD
,135989,BANNER,11212,2021-08-28T11:31:53.074859+04:30,2021-08-28T11:31:53.074879+04:30,false,HEozc1UF,KEYWORD
,135964,BANNER,42740,2021-08-28T11:15:15.424418+04:30,2021-08-28T11:15:15.424443+04:30,false,ALTxGrrp,KEYWORD
,135902,NATIVE,42964,2021-08-28T07:27:06.267782+04:30,2021-08-28T09:07:58.634381+04:30,false,EX5T9LNs,KEYWORD
,135889,NATIVE,31515,2021-08-28T01:34:45.626033+04:30,2021-08-30T12:36:03.546149+04:30,false,cbb2iK8N,KEYWORD
,135884,NATIVE,41307,2021-08-28T01:12:02.152145+04:30,2021-08-28T20:12:42.447929+04:30,false,O1a1tnqt,KEYWORD
,135878,NATIVE,4068,2021-08-27T23:47:44.191857+04:30,2021-08-27T23:47:44.191877+04:30,false,U5ILapty,KEYWORD
,135866,NATIVE,25830,2021-08-27T23:37:52.242475+04:30,2021-08-27T23:37:52.242493+04:30,false,FogQkBHk,KEYWORD
,135852,NATIVE,26441,2021-08-27T22:13:30.4747+04:30,2021-08-27T22:13:30.474719+04:30,false,GoyVT82K,KEYWORD
,135842,BANNER,30427,2021-08-27T20:28:46.651716+04:30,2021-08-28T20:03:27.924349+04:30,false,dIX8DB01,KEYWORD
,135832,NATIVE,42764,2021-08-27T18:34:48.428052+04:30,2021-08-28T16:22:35.658968+04:30,false,O3VbMEp0,KEYWORD
,135830,NATIVE,37434,2021-08-27T18:10:46.117416+04:30,2021-08-27T18:13:03.792003+04:30,false,a9NI1YKY,KEYWORD
,135788,NATIVE,18922,2021-08-27T12:22:33.84168+04:30,2021-08-27T12:22:33.841697+04:30,false,3Q3YgmX4,KEYWORD
,135782,BANNER,42941,2021-08-27T12:15:39.126386+04:30,2021-08-27T12:15:39.126406+04:30,false,RWImQNFI,KEYWORD
,135775,BANNER,21692,2021-08-27T11:41:55.738471+04:30,2021-08-27T11:41:55.73849+04:30,false,ZAtmqZTS,KEYWORD
,135770,NATIVE,42940,2021-08-27T08:48:04.958281+04:30,2021-08-27T08:48:04.9583+04:30,false,nYjdQiN6,KEYWORD
,135758,NATIVE,41261,2021-08-27T01:47:23.37698+04:30,2021-08-27T12:28:30.904824+04:30,false,AKuJvrJp,KEYWORD
,135757,NATIVE,42896,2021-08-27T01:46:51.453455+04:30,2021-08-30T00:28:29.373042+04:30,false,QJ9X6Hs6,KEYWORD
,135750,NATIVE,42678,2021-08-26T23:44:57.98256+04:30,2021-08-28T20:36:33.561936+04:30,false,QsfF6t8z,KEYWORD
,135749,NATIVE,42678,2021-08-26T23:25:46.184207+04:30,2021-08-28T20:36:06.445642+04:30,false,QsfF6t8z,KEYWORD
,135741,NATIVE,42794,2021-08-26T22:45:02.666912+04:30,2021-08-28T23:28:35.47644+04:30,false,L0HIFZRb,KEYWORD
,135740,BANNER,38607,2021-08-26T22:37:00.243908+04:30,2021-08-26T22:37:00.243936+04:30,false,mxErJDor,KEYWORD
,135737,NATIVE,19847,2021-08-26T22:15:57.0338+04:30,2021-08-29T08:20:24.043467+04:30,false,pOlonp5n,KEYWORD
,135711,NATIVE,34922,2021-08-26T19:58:53.958165+04:30,2021-08-26T19:58:53.958185+04:30,false,WDoIVpVw,KEYWORD
,135675,BANNER,29175,2021-08-26T17:55:54.612349+04:30,2021-08-27T00:37:32.930777+04:30,false,GmgpyR34,KEYWORD
,135670,NATIVE,37327,2021-08-26T17:40:58.875718+04:30,2021-08-26T23:12:31.511876+04:30,false,zsouH9fw,KEYWORD
,135666,BANNER,39877,2021-08-26T17:18:04.430617+04:30,2021-08-26T17:18:04.430636+04:30,false,Zp9dTRuV,KEYWORD
,135639,NATIVE,41382,2021-08-26T15:59:11.318436+04:30,2021-08-26T15:59:11.318457+04:30,false,cYVs7ARf,KEYWORD
,135635,BANNER,25028,2021-08-26T15:33:09.197723+04:30,2021-08-26T15:58:16.876085+04:30,false,G0noppUy,KEYWORD
,135619,NATIVE,14910,2021-08-26T14:04:44.965759+04:30,2021-08-28T17:16:50.381168+04:30,false,kvkNQxp2,KEYWORD
,135544,NATIVE,22128,2021-08-26T10:56:40.70685+04:30,2021-08-26T10:56:40.70687+04:30,false,TqHMB4N2,KEYWORD
,135538,NATIVE,42243,2021-08-26T10:47:54.161472+04:30,2021-08-26T10:47:54.161494+04:30,false,uWPG9tf1,KEYWORD
,135536,NATIVE,17183,2021-08-26T10:35:10.771146+04:30,2021-08-26T10:35:10.771169+04:30,false,rfDCiHOe,KEYWORD
,135534,NATIVE,17183,2021-08-26T10:21:15.362648+04:30,2021-08-26T10:21:15.362669+04:30,false,rfDCiHOe,KEYWORD
,135531,NATIVE,17183,2021-08-26T10:05:39.234888+04:30,2021-08-26T10:05:39.234905+04:30,false,rfDCiHOe,KEYWORD
,135525,NATIVE,42895,2021-08-26T09:32:57.002291+04:30,2021-08-26T09:32:57.002313+04:30,false,VNcb1X4F,KEYWORD
,135523,NATIVE,41634,2021-08-26T08:58:21.961995+04:30,2021-08-26T08:58:21.96202+04:30,false,JGbUt1jX,KEYWORD
,135494,BANNER,5632,2021-08-25T22:49:24.467666+04:30,2021-08-25T22:49:24.467691+04:30,false,qfYR4ErY,KEYWORD
,135493,BANNER,5632,2021-08-25T22:48:35.912991+04:30,2021-08-25T22:48:35.913011+04:30,false,qfYR4ErY,KEYWORD
,135486,NATIVE,41387,2021-08-25T21:57:51.218022+04:30,2021-08-26T02:30:29.816068+04:30,false,8tIbuCHP,KEYWORD
,135472,NATIVE,42686,2021-08-25T21:10:41.79758+04:30,2021-08-27T13:54:33.127391+04:30,false,VFcmCi3O,KEYWORD
,135456,NATIVE,42882,2021-08-25T19:21:06.178759+04:30,2021-08-25T19:26:16.793221+04:30,false,rgZlUbLG,KEYWORD
,135455,NATIVE,28240,2021-08-25T19:11:53.598052+04:30,2021-08-28T13:45:46.297501+04:30,false,KhOs20NB,KEYWORD
,135452,NATIVE,28012,2021-08-25T18:26:39.392427+04:30,2021-08-25T18:26:39.392448+04:30,false,Sp9exx45,KEYWORD
,135449,NATIVE,28012,2021-08-25T18:22:18.208634+04:30,2021-08-25T18:22:18.208662+04:30,false,Sp9exx45,KEYWORD
,135445,NATIVE,28012,2021-08-25T18:18:19.757963+04:30,2021-08-25T18:18:19.757999+04:30,false,Sp9exx45,KEYWORD
,135441,NATIVE,3241,2021-08-25T18:13:37.116121+04:30,2021-08-25T18:13:37.116157+04:30,false,VAGfdfnq,KEYWORD
,135439,BANNER,28012,2021-08-25T18:11:08.29922+04:30,2021-08-25T18:11:08.299248+04:30,false,Sp9exx45,KEYWORD
